#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_connacht_adj;connachti;Connachtiane;connachti;;Connachtiano;;;;;;;;;x
d_leinster_adj;leinsteri;Leinsterienne;leinsteri;;Leinsteriano;;;;;;;;;x 
d_munster_adj;münsteri;Munsteroise;münsteri;;Munsteriano;;;;;;;;;x
d_ulster_adj;ulsteri;ulsterien;ulsteri;;Ulsterano;;;;;;;;;x
d_argyll_adj;argylli;Argyllienne;argylli;;Argylliano;;;;;;;;;x
d_lothian_adj;lothián;Lothienne;lothián;;Lothiano;;;;;;;;;x
d_galloway_adj;gallowayi;Gallowayane;gallowayi;;Gallowayana;;;;;;;;;x
d_northumberland_adj;northumberlandi;Northumbrienne;northumberlandi;;Northumberlandés;;;;;;;;;x
d_nikaea_adj;nikaei;Nicéenne;nikaei;;Niceno;;;;;;;;;x
d_gelre_adj;gelrei;Gueldrienne;gelrei;;Gelrianés;;;;;;;;;x
d_ryazan_adj;rjazani;Riazanaise;rjazani;;Ryazanés;;;;;;;;;x
d_bulgar_adj;bolgár;Bulgare;bolgár;;Búlgaro;;;;;;;;;x
d_mazandaran_adj;mazandari;Mazandarani;mazandari;;Mazandaraní;;;;;;;;;x
d_moray_adj;morayi;Morayienne;morayi;;Morayana;;;;;;;;;x
d_meath_adj;meathi;Meathienne;meathi;;Meathiano;;;;;;;;;x
d_deheubarth_adj;deheubarthi;Deheubarthienne;deheubarthi;;Deheubarthiano;;;;;;;;;x
d_brunswick_adj;brunswicki;Brunswickienne;brunswicki;;Brunswickiano;;;;;;;;;x
d_dauphine_adj;dauphine-i;Dauphinoise;dauphine-i;;Dauphiniano;;;;;;;;;x
#d_aquitaine_adj;aquitaine-i;Aquitaine;aquitaine-i;;Aquitainiano;;;;;;;;;x
d_valois_adj;valoisi;Valoisienne;valoisi;;Valoisaino;;;;;;;;;x
d_constantine_adj;constantini;Constantinienne;constantini;;Constantiniano;;;;;;;;;x
d_abbasid_adj;abbaszadi;Abbasside;abbaszadi;;Abbasido;;;;;;;;;x
d_balearic_adj;baleári;Baléare;baleári;;Balearo;;;;;;;;;x
d_bergen_adj;bergeni;Bergenienne;bergeni;;Bergeniano;;;;;;;;;x
d_bordeaux_adj;bordeaux-i;Bordelaise;bordeaux-i;;Bordeauxiano;;;;;;;;;x
d_gilan_adj;gilani;Gilani;gilani;;Gilano;;;;;;;;;x
FE_CREATE_GAME;Játék létrehozása;Créer une partie;Játék létrehozása;;Crear la Partida;;;;;;;;;x
HOST_DESC;Játék létrehozása, hogy mások csatlakozzanak\nNem lesz lehetõséged a kezdõ dátum megváltoztatására vagy a mentés betöltésére a létrehozás után;Héberger une partie afin que d'autres joueurs puissent la rejoindre.\nVous ne pourrez plus changer de date de départ ou de sauvegarde une fois la partie hébergée.;Játék létrehozása, hogy mások csatlakozzanak\nNem lesz lehetõséged a kezdõ dátum megváltoztatására vagy a mentés betöltésére a létrehozás után;;Se anfitriión de la partida para que otros se puedan unir\nNo podrás cambiar la fecha de inicio o una partida guardada después de iniciar;;;;;;;;;x
DEATH_BY_MURDER_NO_KILLER;meg lett gyilkolva;fut assassiné;meg lett gyilkolva;;fue asesinado;;;;;;;;;x
DEATH_EXECUTION_NO_KILLER;ki lett végezve;fut exécuté;ki lett végezve;;fue ejecutado;;;;;;;;;x
DEATH_DUNGEON_NO_KILLER;börtönben meghalt;mourut en prison;börtönben meghalt;;murió en prisión;;;;;;;;;x
DEATH_DUEL_NO_KILLER;párharcban életét vesztette;fut occis en combat singulier;párharcban életét vesztette;;cayó en bravo combate;;;;;;;;;x
EVTOPTB3335;[Root.Liege.GetTitledFirstName] rendbe fog jönni;[Root.Liege.GetTitledFirstName] ira bien;[Root.Liege.GetTitledFirstName] rendbe fog jönni;;[Root.Liege.GetTitledFirstName] estará bien;;;;;;;;;x
plot_weaken_fellow_vassal_title;Látod, hogy [This.GetFullName] egy új uralkodónak lett biztosítva;Voir le [This.GetFullName] être confié à un nouveau Seigneur;Látod, hogy [This.GetFullName] egy új uralkodónak lett biztosítva;;Observar como [This.GetFullName] es entreagado a otro gobernante;;;;;;;;;x
